书	aa
敢	aqh
邦	ate
表	ati
适	auc
牌	aut
背	avv
静	avx
青	avy
买	awm
顶	awy
魂	bag
婚	bbo
灵	bch
强	bdc
杀	bem
印	bfz
引	bgs
弹	bhq
寻	bkc
始	bkd
弃	blc
姓	bls
妈	bnm
希	bnr
充	bpe
肃	bph
怒	brh
君	btd
运	buc
育	bvy
妙	byt
乐	byx
局	cad
层	cby
居	ccg
剧	ccp
故	chp
尺	cid
迟	ciu
尽	ciw
遗	cou
烧	cpf
屈	csm
尼	cvb
胡	cvy
烦	cwy
屋	cyi
哪	dau
吸	dcj
呢	dcv
品	ddd
哭	ddm
呆	dem
吹	deq
吴	dfm
忠	dgh
野	div
呀	dly
吧	dmb
叶	dns
咱	doi
喝	don
唱	doo
叹	dry
另	dsl
嘴	dsv
呼	dth
听	dtj
响	dtm
唯	dui
鸣	dxn
校	eab
杯	ecb
杰	ech
枝	eci
森	eee
禁	eef
梅	eek
梦	eel
楚	eet
标	efs
杜	egt
样	egy
李	ehi
松	ehk
术	eid
述	eiu
检	ejk
枪	ejz
村	ekc
究	ekj
模	elo
刺	emp
突	emq
横	enh
构	enk
材	ent
查	eof
复	eoh
想	eqh
相	eqm
树	erk
穷	esl
析	etj
桥	etm
板	exr
礼	fae
妻	fbb
丈	fbi
灭	fch
严	fcx
亚	fcy
祝	fdp
副	fdq
末	fem
祖	ffq
骨	fgg
祥	fgy
救	fki
县	fks
形	fle
刑	flp
再	fmg
神	fog
夏	foh
武	fps
政	fsh
正	fsi
助	fsl
顿	fsw
丽	fvv
盖	gam
坏	gcb
赤	gch
吉	gdk
残	gfp
墙	ggh
封	ggk
幸	ggy
善	ghd
享	ghi
熟	ghk
增	ghr
丧	ght
培	gid
豪	gjs
却	gkz
塔	glj
城	gna
均	gnw
坦	gof
旧	gor
烈	gpc
域	gpd
殊	gta
违	guc
堆	gui
毫	gvm
京	gyx
羊	gyy
孔	hae
忆	hai
孟	ham
兼	hbc
父	hbi
爷	hbz
鼓	hci
普	hco
喜	hdk
规	hej
欲	heq
忙	hfw
惊	hgy
替	hho
恨	hig
孩	hkh
惯	hko
懂	hll
惜	hlo
瓶	hlr
性	hls
关	hmd
郑	hmt
恢	hnc
首	hoi
忧	hoy
贫	hpo
备	hqt
怪	hrg
弟	htf
兰	hts
递	htu
怕	hub
判	hup
孤	hyg
尊	hyk
悄	hyv
孙	hyx
缘	ibj
绿	ibk
统	ibp
纸	ibs
级	icj
织	idh
童	idl
竞	idp
既	idu
亲	iem
线	ifp
纯	ifs
结	igd
典	ihb
纷	ihp
终	ihw
丝	iis
郎	iit
纵	ijj
编	imi
纳	imj
续	ina
约	ini
船	iod
绕	ipf
绪	iqo
般	irs
练	iry
络	isg
柔	ite
退	iuc
红	iug
纪	ivj
端	ivl
缩	iwj
旁	iwl
帝	iwr
产	ixc
绝	ixm
乡	ixx
站	iyd
缓	iyf
含	jad
今	jae
念	jah
舍	jas
低	jbi
伊	jbt
健	jbu
侵	jbw
仰	jbz
伙	jch
假	jcm
保	jde
仲	jdg
合	jdk
拿	jdu
命	jdz
体	jef
休	jem
伤	jes
便	jfo
停	jga
佳	jgg
修	jgh
候	jgn
例	jgp
伟	jgw
俗	jhg
伴	jhu
仪	jib
倍	jid
住	jin
坐	jjg
众	jjj
伦	jjl
价	jjp
偷	jjv
剑	jkf
俊	jkh
令	jks
邻	jkt
领	jkw
仿	jlf
供	jlh
借	jlo
仁	jme
偏	jmi
伏	jmq
傅	jnk
侯	jno
值	jnq
什	jns
佩	jof
伸	jog
侧	jop
优	joy
介	jpd
袋	jpt
促	jpu
俱	jqh
偶	jqv
仅	jry
企	jsi
佛	jtf
凭	jtg
依	jti
伯	jub
逐	juc
化	jvb
似	jvj
华	jvn
货	jvo
仙	jvs
倾	jvw
伍	jwu
像	jwx
余	jxh
斜	jxj
途	jxu
您	jxy
创	jzp
汤	kae
益	kam
清	kav
津	kbv
湖	kcv
油	kdy
海	kek
池	key
洁	kgd
洋	kgy
兴	khb
潜	khh
举	khu
浪	kii
染	kke
涌	kkt
游	kle
洪	klh
污	kma
参	kme
洞	kmf
潮	kno
温	koa
贯	kob
沿	kod
洲	koo
混	kov
漫	koy
允	kpe
梁	kph
洗	kqp
济	kqq
婆	krb
波	krp
泽	kru
汉	kry
洛	ksg
滚	kth
泛	ktr
勇	kts
江	kug
激	kul
觉	kwe
深	kwh
沉	kwo
沈	kwp
源	kxu
浮	kyh
沙	kyt
消	kyv
艺	lai
苦	lcg
勤	lda
重	ldl
施	lee
族	leo
旅	let
旗	lez
荒	lfo
敬	lgh
共	lhb
茶	lje
荡	lka
耐	lkc
薄	lkn
范	lkz
董	lld
芳	llf
垂	llg
获	lmm
若	lnd
藏	lnq
莫	lom
著	lqo
苏	lsh
营	lwd
荣	lwe
蒙	lwf
劳	lws
外	lyb
菜	lye
莲	lyu
怨	lzh
亏	mae
网	mbb
刚	mbp
启	mdk
研	mfl
硬	mfo
奈	mfs
周	mgd
狗	mgj
猛	mha
碰	mhc
态	mih
遍	miu
肉	mjj
房	mlf
奔	mnl
狂	mnw
套	mpc
元	mpe
奋	mqt
貌	mup
辉	mwy
碎	mzj
奇	mzk
丹	mzt
盛	naa
卖	naw
欧	nbe
融	ncc
灰	nch
理	ndl
忽	neh
匆	nei
威	nfb
球	nfk
存	ngh
珍	nje
南	nmg
骗	nmi
玩	nmp
骑	nmz
琴	nnj
博	nnk
韩	non
医	nos
匹	npe
戴	npq
裁	npt
截	npu
载	npy
直	nqf
惠	nqk
布	nrj
协	nsh
珠	nta
瑞	nvl
包	nvs
索	nwi
风	obi
显	ocy
智	odo
量	ofd
旦	ofi
申	ogs
景	ogy
息	ohx
凡	oid
暴	olh
易	one
财	ont
照	opd
晓	opf
鼻	oql
冒	oqm
凤	ory
题	otw
昨	owa
晚	owp
贴	oyd
断	pat
赵	pbi
归	pbj
糊	pcv
或	pdf
召	pdk
赶	peg
粗	pfq
街	pgg
墨	pgt
粉	php
跟	pig
忍	pih
类	pmd
跨	pmm
默	pmq
距	pnn
跑	pnv
超	ppd
跳	ppw
监	pra
坚	prg
临	pro
路	psg
迷	puc
式	pug
毁	pur
踪	pwf
职	qdh
靠	qdr
造	qdu
果	qem
饮	qeq
饰	qer
颗	qew
具	qhb
教	qhh
联	qhm
累	qis
界	qjp
睡	qll
物	qne
者	qor
赞	qpq
选	qpu
制	qrp
聚	qrt
略	qsg
男	qsl
瞧	quc
馆	qwk
圆	rdo
观	rej
困	rem
箱	req
幅	rfd
圣	rgt
围	rgw
圈	rhh
图	rhw
答	rjd
符	rjk
恩	rmh
篇	rmi
园	rmp
团	rnt
帐	rpc
切	rpd
戏	rpg
算	rql
笑	rtm
难	rui
筑	ruo
劲	rus
管	rwk
颇	rwy
辈	ryc
东	ryx
词	saf
讯	san
请	sav
架	sde
误	sdf
识	sdh
评	seh
诗	sgk
堂	sgt
详	sgy
办	shb
议	sib
甲	sjj
论	sjl
讨	skc
访	slf
诺	sln
调	smg
诚	sna
询	sno
赏	sob
党	spe
课	sqe
诸	sqo
谓	sqv
常	srj
设	srs
步	ssi
谁	sui
掌	sus
紫	svi
记	svj
些	svm
肯	svy
让	syf
谋	sze
血	tam
震	tfc
阻	tfq
际	tfs
丢	tgk
兵	thb
隆	thf
乎	thn
降	thv
限	tig
系	tis
附	tjk
阶	tjp
队	tjr
除	tjx
追	tku
升	tlc
需	tle
防	tlf
乔	tmp
陶	tna
隔	tng
阳	tor
初	tpd
悉	tph
番	tpq
释	tpr
露	tps
雷	tqt
陈	try
勒	tsl
延	tsu
近	tuc
陆	tum
阴	tvy
陷	txp
补	tyb
阵	tyc
扎	uae
括	uas
抵	ubi
扫	ubj
焦	uch
技	uci
握	ucy
操	udd
损	udo
抽	udy
拖	uee
集	uem
控	ueu
拜	ufa
振	ufc
搞	ugg
持	ugk
扶	uhf
接	uib
撞	uid
抢	ujz
抬	ukd
执	uki
泉	uks
搭	ulj
措	ulo
插	ulp
描	ulq
把	umb
护	umh
掩	umo
捕	unf
拒	unn
拔	unr
抱	unv
担	uof
扰	uoy
招	upd
挑	upw
挤	uqq
投	urs
择	uru
功	usl
挺	utg
折	utj
播	utp
托	utr
拍	uub
迫	uuc
批	uvv
按	uwb
探	uwh
挥	uwy
抓	uya
扑	uyb
摆	uyg
授	uyw
抗	uzo
飘	vfo
峰	vha
脱	vhd
腾	vhh
幽	vii
腿	viu
己	vjj
脸	vjk
胜	vls
岁	vlx
毛	vmm
胸	vnb
胆	vof
腰	vvb
皆	vvu
朋	vvy
覆	vwe
岸	vxe
脑	vzb
宁	wad
案	wbe
律	wbv
宫	wdd
冲	wdg
盗	wea
宋	wem
资	weo
富	wfd
宇	wfn
宣	wfo
宜	wfq
宗	wfs
凌	wgh
待	wgk
鲜	wgy
察	whf
容	whg
字	whi
密	wht
往	win
宿	wjf
冷	wjk
徐	wjx
守	wkc
冰	wks
完	wmp
寄	wmz
减	wnf
宝	wni
决	wnj
审	wog
鲁	wor
徒	wpz
赛	wqh
彼	wrp
径	wru
额	wsw
宾	wth
农	wti
准	wui
微	wvf
凝	wvo
鱼	wvv
净	wxb
军	wyc
室	wyi
厅	xad
乘	xav
唐	xbd
急	xbh
底	xbi
康	xbk
委	xbn
秋	xch
种	xdg
积	xdh
程	xdn
厉	xfp
压	xgi
庄	xgt
整	xhf
季	xhi
秘	xht
序	xiv
座	xjj
府	xjk
私	xks
移	xll
度	xlr
庆	xmd
质	xno
章	xns
厚	xoh
香	xor
竟	xpe
返	xru
历	xsl
废	xsr
触	xtc
庭	xtg
角	xty
速	xuc
乌	xuu
愿	xuy
秀	xvn
透	xvu
稳	xxb
赖	xxo
称	xxy
库	xyc
店	xyd
稍	xyv
尔	xyx
较	yab
占	ydk
战	ydp
彩	yee
软	yeq
卡	yfy
罢	ygk
尘	ygt
输	yjv
尖	ymd
辆	yml
桌	yoe
罪	yrf
罚	ysp
暂	yto
省	ytq
受	ywr
亦	zch
迹	zcu
虚	zcy
钟	zdg
卫	zfi
甚	zha
基	zhg
虎	zhh
斯	zht
期	zhv
虑	zhx
银	zig
夜	zjv
射	zkc
钢	zmb
磨	zms
铺	znf
镇	znq
锦	zur
镜	zxp
锁	zyo
销	zyv
歌	zze
装	agti
壁	cdng
避	cdnu
臂	cdnv
慰	cfkh
喊	dnfd
啦	duil
概	eidu
繁	ekhi
敏	ekhp
舞	elfv
恶	fchx
逼	fdqu
型	flpg
画	fqmk
遭	fyou
慢	hoyr
朗	iivy
绍	ipdk
舒	jaiv
愈	jvph
淡	kcch
泥	kcvb
港	klhv
涉	kssi
演	kwfh
浓	kwti
渡	kxlr
渐	kytj
燕	ldac
旋	lets
幕	lomr
献	nmgm
惑	pdfh
策	remk
签	rjkf
读	snam
陪	tidk
险	tjkf
零	tjks
奥	tmpm
扬	uaes
巧	ufae
挂	uggt
势	ukis
恐	uoih
摇	uyaf
毕	vvns
害	wadk
征	wfsi
冠	wmpk
塞	wqhg
席	xlrj
督	yfyq
叔	yfyr
锋	zhaf
档	eybj
匕	vbb
簇	rle
轼	ypu
糖	pxbd
汽	kvq
